,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
2900,Sonic CD Classic,GAME,4.6,26138,15.0,"1,000,000+",Free,0.0,Everyone,Action,"February 14, 2018",1.0.2,4.2 and up
2903,CJ Browser - Fast & Private,COMMUNICATION,4.2,5,15.0,100+,Free,0.0,Everyone,Communication,"November 7, 2017",1.0,4.0 and up
2905,BH Cosmetics,BEAUTY,4.0,2,3.6,"1,000+",Free,0.0,Everyone,Beauty,"May 29, 2018",1.0,4.0 and up
2906,Ab Workouts - Ab Generator,HEALTH_AND_FITNESS,4.7,21,3.8,"1,000+",Free,0.0,Everyone,Health & Fitness,"December 31, 2016",2.0.0,4.1 and up
2910,THE KING OF FIGHTERS-A 2012(F),GAME,4.4,406511,21.0,"5,000,000+",Free,0.0,Teen,Action,"October 21, 2016",1.0.5,4.0.3 and up
2912,High School Simulator 2017,FAMILY,4.2,123136,80.0,"5,000,000+",Free,0.0,Mature 17+,Simulation,"June 25, 2018",1.0,4.0 and up
2913,FP Разбитый дисплей,FAMILY,4.5,922,0.5390625,"50,000+",Free,0.0,Everyone,Entertainment,"September 20, 2014",1.1,1.6 and up
2914,Dr Driving Racer,GAME,4.3,183,68.0,"10,000+",Free,0.0,Everyone,Racing,"June 14, 2018",2.1,4.1 and up
2919,LEDSHOWTW,TOOLS,4.2,5,31.0,500+,Free,0.0,Everyone,Tools,"April 23, 2018",1.3.3,4.0.3 and up
2921,Al Quran Free - القرآن (Islam),BOOKS_AND_REFERENCE,4.7,1777,23.0,"50,000+",Free,0.0,Everyone,Books & Reference,"February 15, 2015",1.1,2.2 and up
2922,DV Lottery Photo,VIDEO_PLAYERS,2.9,23,4.0,"5,000+",Free,0.0,Everyone,Video Players & Editors,"December 16, 2016",1.1,3.0 and up
2924,Who am I? (Biblical),GAME,4.5,5849,5.1,"500,000+",Free,0.0,Everyone,Trivia,"September 13, 2017",1.2.2_comAds,4.0.3 and up
2925,Pink Water Sakura Keyboard Theme,LIBRARIES_AND_DEMO,4.3,1465,7.0,"100,000+",Free,0.0,Everyone,Libraries & Demo,"July 9, 2018",6.7.5,4.0.3 and up
2927,Theme for Tecno Camon CX / C8,LIFESTYLE,4.6,147,9.8,"10,000+",Free,0.0,Everyone,Lifestyle,"May 2, 2017",1.0.1,4.0 and up
2929,Advanced EX for KIA,TOOLS,3.3,257,0.15625,"5,000+",Paid,4.99,Everyone,Tools,"March 14, 2015",1.4,1.6 and up
2930,V for Voodoo,GAME,4.2,16876,59.0,"1,000,000+",Free,0.0,Teen,Trivia,"June 28, 2018",3.0.1,6.0 and up
2931,Math Games for Pre-K - Grade 4,FAMILY,4.6,28,23.0,"1,000+",Paid,1.99,Everyone,Education;Education,"January 13, 2014",1.02,2.2 and up
2932,The Visitor,GAME,4.1,39895,25.0,"5,000,000+",Free,0.0,Mature 17+,Adventure,"January 2, 2018",1.2.3,4.1 and up
2936,HomeWork,EDUCATION,4.3,16195,5.2,"1,000,000+",Free,0.0,Everyone,Education,"September 20, 2016",8.5.2,4.0 and up
2939,CA Speakers,LIFESTYLE,5.0,12,1.2,100+,Paid,0.99,Teen,Lifestyle,"March 25, 2014",1.0,3.0 and up
2940,ZOOKEEPER DX TouchEdition,FAMILY,4.2,3195,4.6,"100,000+",Paid,0.99,Everyone,Puzzle,"November 26, 2015",1.2.7,2.1 and up
2944,"No. Color - Color by Number, Number Coloring",FAMILY,4.8,269194,6.9,"10,000,000+",Free,0.0,Everyone,Entertainment;Brain Games,"August 3, 2018",Varies with device,Varies with device
2946,DHgate-Shop Wholesale Prices,SHOPPING,4.5,104068,37.0,"5,000,000+",Free,0.0,Teen,Shopping,"August 1, 2018",4.5.1,4.1 and up
2947,"Cystic Fibrosis Symptoms, Doctors & Treatments",HEALTH_AND_FITNESS,4.7,6,9.7,100+,Free,0.0,Teen,Health & Fitness,"April 24, 2018",1.0.7,5.0 and up
2949,Navigation Plus,TRAVEL_AND_LOCAL,4.1,928,14.0,"1,000,000+",Free,0.0,Everyone,Travel & Local,"January 9, 2018",11.0.269 (m),4.1 and up
2950,CK 初一 十五,LIFESTYLE,4.0,294,0.1494140625,"10,000+",Free,0.0,Everyone,Lifestyle,"July 3, 2013",1.0.12,2.1 and up
2951,Websites.co.in Instant Website,BUSINESS,4.3,327,13.0,"10,000+",Free,0.0,Everyone,Business,"June 25, 2018",1.48,4.1 and up
2952,Fossil Q Legacy,LIFESTYLE,2.6,680,60.0,"50,000+",Free,0.0,Everyone,Lifestyle,"September 19, 2017",1.0.1,4.4 and up
2953,BD CRICKET LIVE,SPORTS,4.6,1238,9.5,"100,000+",Free,0.0,Everyone,Sports,"January 15, 2018",3.0,4.0.3 and up
2954,Bk Usha behn,LIFESTYLE,5.0,10,3.0,"1,000+",Free,0.0,Everyone,Lifestyle,"January 14, 2018",1.0,4.1 and up
2955,2048 BTS J Hope KPop Puzzle Game,FAMILY,4.7,17,2.4,"1,000+",Free,0.0,Everyone,Puzzle,"September 26, 2017",1,2.3.3 and up
2957,Virtual Eye AI,TOOLS,4.4,26,3.8,500+,Free,0.0,Everyone,Tools,"May 27, 2018",1.2,4.0 and up
2958,Remote for Samsung TV & BluRay Players (Read Desc),TOOLS,3.3,1988,7.3,"500,000+",Free,0.0,Everyone,Tools,"August 3, 2018",Cow V3.15,4.3 and up
2959,HuffPost - News,NEWS_AND_MAGAZINES,4.2,78154,12.0,"1,000,000+",Free,0.0,Everyone 10+,News & Magazines,"August 3, 2018",19.2.8,4.4 and up
2960,OptumRx,MEDICAL,3.4,1838,21.0,"100,000+",Free,0.0,Everyone,Medical,"July 2, 2018",2.11.0,4.0.3 and up
2962,Do Not Disturb! 2 - Challenge Your Prank Skills!,FAMILY,4.0,34417,48.0,"1,000,000+",Free,0.0,Everyone,Educational,"August 6, 2018",1.0.9,4.1 and up
2963,Booking Revolution,SPORTS,4.2,140883,59.0,"5,000,000+",Free,0.0,Teen,Sports,"July 21, 2018",1.932,4.0 and up
2964,Walmart MoneyCard,FINANCE,4.2,6148,10.0,"1,000,000+",Free,0.0,Everyone,Finance,"June 1, 2018",1.14.1,4.1 and up
2966,Pool Billiards Classic - bi a,SPORTS,3.9,5644,14.0,"1,000,000+",Free,0.0,Everyone,Sports,"November 1, 2017",1.7,4.0.3 and up
2968,Cy-Ranch,NEWS_AND_MAGAZINES,4.5,27,7.1,500+,Free,0.0,Everyone,News & Magazines,"May 6, 2018",7.5.0,4.1 and up
2971,Traffic signs BD,COMMUNICATION,4.4,7,5.3,500+,Free,0.0,Everyone,Communication,"October 8, 2015",1.0,4.1 and up
2972,OpenRice,FOOD_AND_DRINK,3.6,14952,39.0,"1,000,000+",Free,0.0,Everyone,Food & Drink,"June 8, 2018",5.8.5,4.1 and up
2973,Manga AZ - Manga Comic Reader,COMICS,3.3,125,4.7,"5,000+",Free,0.0,Teen,Comics,"July 24, 2018",1.0.4,4.0.3 and up
2974,BR Chat Bot,SOCIAL,1.9,16,2.6,"1,000+",Free,0.0,Everyone,Social,"June 30, 2016",1.0,4.0 and up
2975,Text SMS,COMMUNICATION,4.5,349384,8.2,"10,000,000+",Free,0.0,Everyone,Communication,"July 24, 2018",3.47,4.0.3 and up
2976,DC All Access,FAMILY,4.4,12639,96.0,"500,000+",Free,0.0,Teen,Entertainment,"October 17, 2017",3.5,4.1 and up
2980,Map My Hike GPS Hiking,HEALTH_AND_FITNESS,4.4,12858,55.0,"500,000+",Free,0.0,Everyone,Health & Fitness,"July 27, 2018",18.7.1,5.0 and up
2981,cPro Marketplace: Buy. Sell. Rent. Date. Jobs.,SHOPPING,4.4,385764,8.4,"10,000,000+",Free,0.0,Mature 17+,Shopping,"August 5, 2018",3.82,4.1 and up
2984,Camping RV Caravan Parking 3D,GAME,3.3,5290,48.0,"500,000+",Free,0.0,Everyone,Racing,"December 18, 2014",1.3,2.3 and up
2985,Android P Stock Wallpapers,PERSONALIZATION,4.5,16,3.7,"1,000+",Free,0.0,Everyone,Personalization,"August 1, 2018",2.3.0,5.0 and up
2986,Basket Manager 2018 Free,SPORTS,3.4,1520,6.3,"50,000+",Free,0.0,Everyone,Sports,"April 17, 2018",3.7,4.4 and up
2988,Recycling Cy,LIFESTYLE,4.0,47,4.5,"1,000+",Free,0.0,Everyone,Lifestyle,"August 2, 2017",2.0,3.2 and up
2989,Flashlight - Torch LED Light,TOOLS,4.4,192661,8.5,"10,000,000+",Free,0.0,Everyone,Tools,"July 7, 2018",2.4.1,4.1 and up
2990,Yes day,GAME,4.5,10055521,94.0,"100,000,000+",Free,0.0,Everyone,Casual,"June 28, 2018",1_39_93,4.0.3 and up
2991,DWWW 774 Ultimate AM Radio,NEWS_AND_MAGAZINES,4.7,327,31.0,"10,000+",Free,0.0,Everyone,News & Magazines,"June 26, 2018",4.0.9,4.1 and up
2992,BG LINKED (BGLINKED),SOCIAL,4.7,22,11.0,"1,000+",Free,0.0,Everyone,Social,"January 19, 2018",v2.0.02_prod,4.1 and up
2993,OS-X EMUI 4/5/8 THEME,PERSONALIZATION,3.9,916,36.0,"100,000+",Free,0.0,Everyone,Personalization,"February 5, 2018",5,4.4 and up
2995,Five Nights at Flappy's,GAME,4.7,4041,24.0,"10,000+",Free,0.0,Everyone,Arcade,"June 27, 2017",1.5.14,2.3.3 and up
2997,Racing in Car 2,GAME,4.3,234110,38.0,"50,000,000+",Free,0.0,Everyone,Racing,"November 22, 2016",1.0,2.3.3 and up
2999,University of Florida,FAMILY,4.0,168,7.6,"10,000+",Free,0.0,Everyone,Education,"October 2, 2017",2.0,4.1 and up
3002,Mobills: Budget Planner,FINANCE,4.6,161440,16.0,"1,000,000+",Free,0.0,Everyone,Finance,"August 3, 2018",3.2.18.07.30,4.0.3 and up
3004,Sun Rise Free Live Wallpaper,PERSONALIZATION,4.3,86481,8.6,"10,000,000+",Free,0.0,Everyone,Personalization,"January 31, 2018",4.8.3,4.0 and up
3005,"AG Contacts, Premium edition",COMMUNICATION,4.5,88,3.7,500+,Paid,4.99,Everyone,Communication,"May 18, 2018",8.05.18.14250,4.0.3 and up
3006,CG Fit Scale,HEALTH_AND_FITNESS,2.6,13,3.3,"1,000+",Free,0.0,Everyone,Health & Fitness,"October 13, 2015",1.1.4,4.0 and up
3008,D.L. Evans Bank Mobile Banking,FINANCE,4.3,85,30.0,"10,000+",Free,0.0,Everyone,Finance,"May 2, 2018",18.1.79,5.0 and up
3009,cx-33wifi,FAMILY,4.4,63,7.6,"10,000+",Free,0.0,Everyone,Entertainment,"November 14, 2015",1.4,2.2 and up
3010,DN Reader,NEWS_AND_MAGAZINES,4.6,18,1.8,100+,Free,0.0,Everyone,News & Magazines,"March 13, 2014",1.0,4.0 and up
3011,Camera for Android,PHOTOGRAPHY,4.2,240475,9.5,"10,000,000+",Free,0.0,Everyone,Photography,"November 22, 2017",3.8,4.0 and up
3012,Blur Image Background,PHOTOGRAPHY,3.9,129268,11.0,"10,000,000+",Free,0.0,Everyone,Photography,"July 30, 2018",1.32,4.1 and up
3015,photo keypad lockscreen,TOOLS,4.1,225544,8.1,"10,000,000+",Free,0.0,Everyone,Tools,"July 17, 2018",3.1.2,4.0 and up
3017,NASCAR MOBILE,SPORTS,4.2,80900,21.0,"1,000,000+",Free,0.0,Everyone,Sports,"July 25, 2018",7.1.7.4,4.4 and up
3018,Visuelles Wörterbuch Audio-App,FAMILY,3.1,192,66.0,"10,000+",Free,0.0,Everyone,Education,"July 7, 2017",1.1.6,4.1 and up
3020,Drink-O-Tron The Drinking Game,GAME,4.1,140,45.0,"50,000+",Free,0.0,Mature 17+,Card,"May 31, 2017",1.64,4.0.3 and up
3021,My Budget Book,FINANCE,4.7,19784,7.3,"100,000+",Paid,2.99,Everyone,Finance,"June 13, 2018",7.6,4.0 and up
3022,Yoga Studio: Mind & Body,HEALTH_AND_FITNESS,4.3,5499,94.0,"100,000+",Free,0.0,Everyone,Health & Fitness,"July 23, 2018",2.0.16,4.1 and up
3024,Lippincott Nursing Advisor,MEDICAL,3.8,343,26.0,"50,000+",Free,0.0,Everyone,Medical,"May 1, 2018",3.3.1,4.1 and up
3025,Commando Adventure Assassin,GAME,4.0,51067,48.0,"5,000,000+",Free,0.0,Teen,Action,"May 29, 2018",1.18,4.1 and up
3026,RPG Dragon Lapis,FAMILY,4.6,13492,56.0,"100,000+",Free,0.0,Teen,Role Playing,"July 9, 2018",1.1.4g,4.1 and up
3029,EY Forensics,FINANCE,4.9,7,3.4,"1,000+",Free,0.0,Everyone,Finance,"June 17, 2016",1.0.1,4.0.3 and up
3030,T-Mobile SyncUP DRIVE,AUTO_AND_VEHICLES,4.0,1981,18.0,"100,000+",Free,0.0,Everyone,Auto & Vehicles,"August 1, 2018",2.15.1.4,5.0 and up
3032,The dollar in mexico,FINANCE,4.5,4254,3.2,"100,000+",Free,0.0,Everyone,Finance,"August 29, 2017",2.5,4.0 and up
3033,Sandbox Art-Sandbox Color by Number Coloring Pages,FAMILY,4.7,12784,15.0,"1,000,000+",Free,0.0,Everyone,Entertainment,"August 4, 2018",1.3.3,4.1 and up
3034,PPS Online,PARENTING,4.6,37,16.0,"10,000+",Free,0.0,Everyone,Parenting,"July 9, 2018",3.19,4.0.3 and up
3035,Modern Counter Global Strike 3D V2,GAME,4.0,368,48.0,"50,000+",Free,0.0,Everyone 10+,Action,"March 28, 2018",1.7,4.1 and up
3036,Android P | Xperia™ Theme 4800+ icons,PERSONALIZATION,4.6,29,39.0,100+,Paid,1.99,Everyone,Personalization,"May 16, 2018",1.0.0,6.0 and up
3038,How To Get Your Ex Back Fast,LIFESTYLE,4.0,22,19.0,"5,000+",Free,0.0,Everyone,Lifestyle,"February 7, 2018",15.0,4.0.3 and up
3039,Strange Hero: Future Battle,GAME,4.2,88901,73.0,"10,000,000+",Free,0.0,Teen,Action,"May 24, 2018",11.0.0,4.0 and up
3040,Tamago Tap Clicker Egg,FAMILY,3.6,209,16.0,"50,000+",Free,0.0,Everyone,Casual,"October 19, 2016",1.1,2.3 and up
3043,K Health,HEALTH_AND_FITNESS,4.1,290,40.0,"50,000+",Free,0.0,Teen,Health & Fitness,"July 22, 2018",1.7.2992,4.1 and up
3044,Lanterns: The Harvest Festival,FAMILY,4.7,185,72.0,"1,000+",Paid,4.99,Everyone,Board;Brain Games,"May 1, 2018",1.16.5,4.1 and up
3045,Baby puzzles,FAMILY,4.3,11950,19.0,"5,000,000+",Free,0.0,Everyone,Educational;Education,"July 12, 2018",6.1,4.0.3 and up
3046,Black Survival,FAMILY,4.4,48451,52.0,"1,000,000+",Free,0.0,Teen,Strategy,"August 1, 2018",4.6.00,4.0.3 and up
3048,Turbo Download Manager (and Browser),TOOLS,4.0,32879,3.2,"5,000,000+",Free,0.0,Everyone,Tools,"August 4, 2018",5.19,4.0.3 and up
3049,Best Western e-Concierge Hotel,TRAVEL_AND_LOCAL,4.0,41,23.0,"10,000+",Free,0.0,Everyone,Travel & Local,"June 4, 2018",2.8.1,5.0 and up
3050,Fallout Shelter,GAME,4.6,2719142,25.0,"10,000,000+",Free,0.0,Teen,Simulation,"June 11, 2018",1.13.12,4.1 and up
3051,Vigo Lite,ENTERTAINMENT,4.2,10291,6.5,"5,000,000+",Free,0.0,Teen,Entertainment,"August 4, 2018",3.7.3,4.0.3 and up
3052,"Polaris Office - Word, Docs, Sheets, Slide, PDF",PRODUCTIVITY,4.3,549900,60.0,"10,000,000+",Free,0.0,Everyone,Productivity,"July 18, 2018",7.3.30,4.1 and up
3054,SCB EASY,FINANCE,4.2,112656,93.0,"5,000,000+",Free,0.0,Everyone,Finance,"July 19, 2018",3.9.0,4.1 and up
3055,B-BLE(BLE4.0 Scan),TOOLS,3.8,159,7.5,"10,000+",Free,0.0,Everyone,Tools,"April 20, 2018",5.5,5.0 and up
3056,DIY Garden Ideas,LIFESTYLE,4.1,3309,13.0,"500,000+",Free,0.0,Everyone,Lifestyle,"August 5, 2018",10.0,4.0 and up
3057,Tattoodo - Find your next tattoo,LIFESTYLE,4.5,7457,13.0,"1,000,000+",Free,0.0,Teen,Lifestyle,"August 3, 2018",2.4.12-r244,4.1 and up
3058,Dr. Oetker recipe ideas,FOOD_AND_DRINK,4.2,8509,17.0,"1,000,000+",Free,0.0,Everyone,Food & Drink,"July 12, 2018",3.5.5,4.0.3 and up
3060,Mobile TV,ENTERTAINMENT,3.5,10939,4.6,"10,000,000+",Free,0.0,Everyone,Entertainment,"April 28, 2016",2.05.0010,5.0 and up
3064,Sportractive GPS Running Cycling Distance Tracker,HEALTH_AND_FITNESS,4.8,48276,7.5,"1,000,000+",Free,0.0,Everyone,Health & Fitness,"August 4, 2018",3.0.6,4.4 and up
3068,Transenger – Ts Dating and Chat for Free,DATING,3.6,8,14.0,"1,000+",Free,0.0,Mature 17+,Dating,"July 29, 2018",1.4.0,4.4 and up
3069,ScriptSave WellRx Rx Discounts,MEDICAL,3.8,700,37.0,"100,000+",Free,0.0,Everyone,Medical,"June 21, 2018",3.3.0,4.4 and up
3070,SnipSnap Coupon App,SHOPPING,4.2,9975,18.0,"1,000,000+",Free,0.0,Everyone,Shopping,"January 22, 2018",1.4,4.3 and up
3072,Ring,COMMUNICATION,3.9,517,35.0,"10,000+",Free,0.0,Everyone,Communication,"August 6, 2018",20180805,4.4 and up
3073,Overcomers CF - GA,LIFESTYLE,5.0,7,11.0,100+,Free,0.0,Everyone,Lifestyle,"March 20, 2017",1.1,4.1 and up
3078,Dash Tag - Fun Endless Runner!,FAMILY,4.5,6750,43.0,"100,000+",Free,0.0,Everyone,Casual,"June 13, 2018",2.0.3,4.3 and up
3079,Johny Johny Yes Papa Nursery Rhyme - offline Video,PARENTING,4.5,806,11.0,"500,000+",Free,0.0,Everyone,Parenting,"August 4, 2018",4.2,4.0.3 and up
3080,Learn to code with el Chavo,FAMILY,3.9,5933,60.0,"1,000,000+",Free,0.0,Everyone,Educational,"March 27, 2018",2.6,4.1 and up
3081,Discovery K!ds Play!,FAMILY,4.1,19388,35.0,"1,000,000+",Free,0.0,Everyone,Entertainment;Music & Video,"May 3, 2018",2.1.0.2173,4.0.3 and up
3082,CreditWise from Capital One,FINANCE,4.6,26587,8.4,"1,000,000+",Free,0.0,Everyone,Finance,"July 19, 2018",1.18.0,4.4 and up
3084,English for Everyone,FAMILY,3.2,429,18.0,"10,000+",Free,0.0,Everyone,Education,"July 6, 2018",3.9.1,4.4 and up
3085,Bonza Poly Art - Tenkyu Animal Jam for Kids,FAMILY,4.1,22,31.0,"1,000+",Free,0.0,Everyone,Puzzle,"August 3, 2018",1.0.9,4.1 and up
3086,TFO BZ Lessons,FAMILY,4.4,75,3.7,500+,Free,0.0,Everyone,Education,"April 28, 2017",2.1.1,4.1 and up
3088,Word Search,GAME,4.7,295576,3.9,"10,000,000+",Free,0.0,Everyone,Word,"June 6, 2018",1.1.3,3.0 and up
3093,M Launcher -Marshmallow 6.0,PERSONALIZATION,4.4,37234,7.3,"1,000,000+",Free,0.0,Everyone,Personalization,"March 22, 2018",1.4.9,4.1 and up
3094,Cp Calculator for Evolution:GO,FAMILY,4.8,124,2.5,500+,Free,0.0,Everyone,Entertainment,"August 23, 2016",1.2,4.2 and up
3095,Slot Machines by IGG,GAME,4.6,267229,24.0,"10,000,000+",Free,0.0,Teen,Casino,"May 28, 2018",1.7.4,2.3 and up
3096,CAPTCHA Pack for Sleep as Android,LIFESTYLE,4.0,448,3.1,"50,000+",Free,0.0,Everyone,Lifestyle,"June 8, 2018",1.3,2.3 and up
3098,Sworkit: Workouts & Fitness Plans,HEALTH_AND_FITNESS,4.6,109756,78.0,"5,000,000+",Free,0.0,Everyone,Health & Fitness,"August 1, 2018",8.2.0,4.0.3 and up
3099,H-Connect,HEALTH_AND_FITNESS,4.0,50,15.0,"5,000+",Free,0.0,Everyone,Health & Fitness,"July 3, 2018",2.14,4.4 and up
3100,Ultimate Control BT,BUSINESS,4.6,14,4.3,500+,Free,0.0,Everyone,Business,"June 6, 2018",3.3.2,4.4 and up
3101,EI Calculator,TOOLS,4.0,8,1.5,100+,Free,0.0,Everyone,Tools,"May 23, 2016",1.3,1.6 and up
3102,Chick-fil-A,FOOD_AND_DRINK,4.3,27931,17.0,"5,000,000+",Free,0.0,Everyone,Food & Drink,"August 3, 2018",6.0.1,5.0 and up
3104,MileIQ - Free Mileage Tracker for Business,FINANCE,4.5,46106,22.0,"1,000,000+",Free,0.0,Everyone,Finance,"July 31, 2018",1.28.0.5402,4.4 and up
3105,NinJump,GAME,4.3,421000,36.0,"10,000,000+",Free,0.0,Everyone,Arcade,"June 13, 2018",3.1.1,4.1 and up
3106,English Bite,FAMILY,3.5,268,9.8,"10,000+",Free,0.0,Everyone,Education,"January 25, 2016",1.3.0,4.0 and up
3107,G-Pix [Android P] Dark EMUI 8/5 THEME,PERSONALIZATION,4.1,169,24.0,"10,000+",Free,0.0,Everyone,Personalization,"March 25, 2018",7,4.4 and up
3108,Daily K-Talk,FAMILY,4.3,264,60.0,"10,000+",Free,0.0,Everyone,Education,"July 31, 2018",v8[1.0.10],2.3 and up
3110,McDonald's - McDonald's Japan,FOOD_AND_DRINK,3.4,109784,64.0,"10,000,000+",Free,0.0,Everyone,Food & Drink,"August 3, 2018",4.0.30,4.0.3 and up
3111,I Can't Wake Up! Alarm Clock,TOOLS,4.5,70404,4.2,"1,000,000+",Free,0.0,Everyone,Tools,"May 25, 2018",3.4.0,4.0 and up
3112,Wheretoget: Shop in style,LIFESTYLE,4.1,6808,12.0,"500,000+",Free,0.0,Teen,Lifestyle,"June 5, 2017",3.2.0,4.1 and up
3113,myQ,TOOLS,3.6,3642,29.0,"100,000+",Free,0.0,Everyone,Tools,"July 23, 2018",3.2.0,4.0.3 and up
3114,Scary Video Maker,FAMILY,3.7,9296,28.0,"500,000+",Free,0.0,Teen,Entertainment,"July 24, 2018",1.14,4.1 and up
3115,Room Creator Interior Design,HOUSE_AND_HOME,3.9,59660,72.0,"1,000,000+",Free,0.0,Everyone,House & Home,"March 14, 2017",3.4,2.3 and up
3116,Eyeliner step by step 2018,BEAUTY,4.3,18,3.2,"5,000+",Free,0.0,Everyone,Beauty,"June 1, 2018",1.2.13,4.0.3 and up
3117,Mandala Coloring Book,ART_AND_DESIGN,4.6,4326,21.0,"100,000+",Free,0.0,Everyone,Art & Design,"June 26, 2018",1.0.4,4.4 and up
3118,LocaToWeb - Live GPS tracking,SPORTS,4.6,200,3.0,"1,000+",Paid,2.49,Everyone,Sports,"August 2, 2018",3.9.1,5.0 and up
3119,Toronto FC,SPORTS,3.4,144,79.0,"10,000+",Free,0.0,Teen,Sports,"May 11, 2018",4.2.5,4.3 and up
3120,IDM for Facebook ★ Downloader,PRODUCTIVITY,4.3,1905,3.1,"100,000+",Free,0.0,Everyone,Productivity,"October 17, 2015",7.95,2.3 and up
3121,Pyaar Ek Dhoka,FAMILY,5.0,18,1.3,50+,Free,0.0,Everyone,Casual,"February 13, 2018",1.0,4.3 and up
3124,"FirstCry Baby & Kids Shopping, Fashion & Parenting",SHOPPING,4.1,41074,16.0,"5,000,000+",Free,0.0,Everyone,Shopping,"June 27, 2018",68,4.1 and up
3125,ConnectLine,MEDICAL,3.1,253,4.2,"50,000+",Free,0.0,Everyone,Medical,"September 12, 2016",1.3.4,2.3.3 and up
3127,BX Memo,FAMILY,4.3,131,2.0,"5,000+",Free,0.0,Everyone,Education,"November 17, 2016",3.3.1,2.2 and up
3128,Garden Fever - Free!,FAMILY,3.9,13253,12.0,"1,000,000+",Free,0.0,Everyone,Puzzle,"August 9, 2016",2.1.080,2.3 and up
3130,Beach Shoot Em Up: Head Hunter,GAME,4.4,1218,15.0,"500,000+",Free,0.0,Everyone 10+,Action,"March 6, 2018",1.0.9,2.3 and up
3132,"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,4.6,2265084,6.1,"50,000,000+",Free,0.0,Everyone,Communication,"July 31, 2018",5.22.18.0006,4.0 and up
3135,Operate Now: Hospital,FAMILY,4.3,254861,52.0,"10,000,000+",Free,0.0,Teen,Simulation,"August 1, 2018",1.20.3,4.4 and up
3136,F-Secure Freedome for Business,BUSINESS,3.8,183,9.9,"50,000+",Free,0.0,Everyone,Business,"July 16, 2018",2.5.1.7594.psb,4.0.3 and up
3137,Fr Agnel Pune,FAMILY,4.1,80,13.0,"1,000+",Free,0.0,Everyone,Education,"June 13, 2018",2.0.20,4.0.3 and up
3140,ES Holo Theme,TOOLS,4.3,11449,1.7,"500,000+",Free,0.0,Everyone,Tools,"February 2, 2016",2.0.4,2.0 and up
3141,HD Movie Video Player,VIDEO_PLAYERS,4.5,18699,4.1,"1,000,000+",Free,0.0,Everyone,Video Players & Editors,"March 27, 2018",1.0,4.0.3 and up
3143,LA Times: Your California News,NEWS_AND_MAGAZINES,3.6,3311,10.0,"100,000+",Free,0.0,Everyone,News & Magazines,"April 24, 2018",4.0.1,4.2 and up
3144,Graffiti Letters (A-Z),LIFESTYLE,3.9,386,7.9,"50,000+",Free,0.0,Everyone,Lifestyle,"February 18, 2017",2.1.5,4.0 and up
3145,Zombie War Z : Hero Survival Rules,GAME,3.9,1987,62.0,"100,000+",Free,0.0,Mature 17+,Action,"December 13, 2017",1.8,4.0.3 and up
3147,Best Friends Dress Up & Makeup,FAMILY,3.7,7664,44.0,"500,000+",Free,0.0,Everyone,Casual;Pretend Play,"September 9, 2015",1.0.3,4.0.3 and up
3148,DP Maker,PHOTOGRAPHY,4.2,784,18.0,"100,000+",Free,0.0,Everyone,Photography,"April 29, 2018",1.00.15,4.1 and up
3149,"Resume Builder Free, CV Maker & Resume Templates",BUSINESS,4.4,20921,5.7,"1,000,000+",Free,0.0,Everyone,Business,"January 11, 2018",4.0.3,4.1 and up
3150,MyMTN,PRODUCTIVITY,4.0,8550,15.0,"1,000,000+",Free,0.0,Everyone,Productivity,"July 25, 2018",2.1.5,4.0 and up
3152,"PTI Flex Maker, Photo Frame Editor & Songs 2018",EVENTS,4.6,99,13.0,"10,000+",Free,0.0,Everyone,Events,"July 6, 2018",1.1,4.2 and up
3156,CEHQ - CE Credits for Nurses,FAMILY,4.5,12,4.0,"1,000+",Free,0.0,Everyone,Education,"May 25, 2018",3.0.18,5.0 and up
3157,Doctor X - ER On Wheels,FAMILY,3.6,12781,51.0,"1,000,000+",Free,0.0,Everyone,Casual;Pretend Play,"June 6, 2018",1.0.9,4.1 and up
3159,Fruit Ninja®,GAME,4.3,5091448,41.0,"100,000,000+",Free,0.0,Everyone,Arcade,"July 12, 2018",2.6.7.487220,4.1 and up
3161,Gymnastics Superstar - Spin your way to gold!,FAMILY,4.6,305765,34.0,"10,000,000+",Free,0.0,Everyone,Role Playing,"July 31, 2018",1.1.7,4.1 and up
3162,A-Y Collection,SHOPPING,5.0,2,2.9,100+,Free,0.0,Teen,Shopping,"February 16, 2018",1.2,4.1 and up
3165,World Travel Guide by Triposo,TRAVEL_AND_LOCAL,4.4,6012,81.0,"500,000+",Free,0.0,Everyone,Travel & Local,"March 5, 2018",4.6.0,4.0.3 and up
3166,Club Penguin Island,FAMILY,2.8,107441,32.0,"1,000,000+",Free,0.0,Everyone,Casual;Action & Adventure,"July 10, 2018",1.10.5,4.4 and up
3171,English Persian Dictionary,BOOKS_AND_REFERENCE,4.5,26875,73.0,"500,000+",Free,0.0,Everyone,Books & Reference,"August 1, 2018",6.0.8,4.0.3 and up
3172,Hush - Beauty for Everyone,BEAUTY,4.7,18900,17.0,"500,000+",Free,0.0,Everyone,Beauty,"August 2, 2018",6.10.1,5.0 and up
3176,Retro City Rampage DX,GAME,4.7,416,16.0,"10,000+",Paid,2.99,Teen,Action,"January 12, 2017",1.0.5,4.0 and up
